Item,Reference(s),Quantity,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number,Description,Package
1,C1 C2 C3 C4 C5,5,TDK Corporation,C1608X5R1C475K080AC,Digi-Key,445-7478-1-ND,CAP CER 4.7UF 16V X5R 0603,
2,C6 C7 C8 C9,4,Yageo,CC0402ZRY5V8BB104,Digi-Key,311-1375-1-ND,CAP CER 0.1UF 25V Y5V,0402
3,C10,1,Samsung Electro-Mechanics,CL05A105KL5NRNC,Digi-Key,1276-6796-1-ND,CAP CER 1UF 35V X5R,0402
4,C11,1,KEMET,C0402C300J5GACAUTO,Digi-Key,399-C0402C300J5GACAUTOCT-ND,CAP CER 30PF 50V C0G/NP0,0402
5,D1,1,American Bright Optoelectronics Corporation,BPD-BQDA38V-FZ04,Digi-Key,BPD-BQDA38V-FZ04CT-ND,SENSOR PHOTODIODE RADIAL,
6,J1,1,Amphenol,10137062-00021LF,Digi-Key,609-6109-1-ND,CONN RCP USB3.1 TYPEC 24P SMD RA,
7,J2 J3,2,Amphenol RF,A-1JB,Digi-Key,115-A-1JBCT-ND,CONN UMC JACK STR 50 OHM SMD,
8,R1 R3 R6 R8,4,Panasonic Electronic Components,ERJ-2RKF4992X,Digi-Key,P49.9KLCT-ND,RES SMD 49.9K OHM 1% 1/10W,0402
9,R2 R4,2,Panasonic Electronic Components,ERJ-2RKF6812X,Digi-Key,P68.1KLCT-ND,RES SMD 68.1K OHM 1% 1/10W,0402
10,R5 R7,2,Vishay Dale,CRCW06033M65FKEA,Digi-Key,541-3.65MHCT-ND,RES SMD 3.65M OHM 1% 1/10W,0603
11,R9,1,Panasonic Electronic Components,ERJ-2RKF2490X,Digi-Key,P249LCT-ND,RES SMD 249 OHM 1% 1/10W,0402
12,R10,1,Panasonic Electronic Components,ERA-8AEB154V,Digi-Key,P150KBCCT-ND,RES SMD 150K OHM 0.1% 1/4W,1206
13,R11,1,Panasonic Electronic Components,ERJ-PM8F2004V,Digi-Key,10-ERJ-PM8F2004VCT-ND,RES 2.0M OHM 1% 0.66W,1206
14,U1,1,Maxim Integrated,MAX865EUA+,Digi-Key,MAX865EUA+-ND,IC REG CHARGE PUMP INV DL 8UMAX,SOP65P490X110-8N
15,U2 U3,2,Texas Instruments,UAF42AU,Digi-Key,UAF42AU-ND,IC UNIV ACTIVE FILTER 16-SOIC,
16,U4,1,Texas Instruments,OPA381AIDRBT,Digi-Key,296-17363-1-ND,IC TRANSIMPEDANCE 1 CIRCUIT 8SON,
